#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
,,0,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4574,count,latency,handler,l2,market_state,delta
,,1,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,576,p50,latency,handler,l2,market_state,delta
,,2,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,800,p90,latency,handler,l2,market_state,delta
,,3,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,960,p99,latency,handler,l2,market_state,delta
,,4,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,669,count,latency,handler,mark,market_state,delta
,,5,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,160,p50,latency,handler,mark,market_state,delta
,,6,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,288,p90,latency,handler,mark,market_state,delta
,,7,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,400,p99,latency,handler,mark,market_state,delta
,,8,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4046,count,latency,handler,spot,market_state,delta
,,9,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,160,p50,latency,handler,spot,market_state,delta
,,10,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,192,p90,latency,handler,spot,market_state,delta
,,11,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,232,p99,latency,handler,spot,market_state,delta
,,12,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2826,count,latency,handler,trade,market_state,delta
,,13,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p50,latency,handler,trade,market_state,delta
,,14,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,184,p90,latency,handler,trade,market_state,delta
,,15,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,304,p99,latency,handler,trade,market_state,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,venue
,,16,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4575,count,latency,json_parse,l2,delta
,,17,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2688,p50,latency,json_parse,l2,delta
,,18,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4352,p90,latency,json_parse,l2,delta
,,19,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,6144,p99,latency,json_parse,l2,delta
,,20,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,670,count,latency,json_parse,mark,delta
,,21,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,928,p50,latency,json_parse,mark,delta
,,22,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,1216,p90,latency,json_parse,mark,delta
,,23,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,1472,p99,latency,json_parse,mark,delta
,,24,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4047,count,latency,json_parse,spot,delta
,,25,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,496,p50,latency,json_parse,spot,delta
,,26,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,672,p90,latency,json_parse,spot,delta
,,27,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,896,p99,latency,json_parse,spot,delta
,,28,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2827,count,latency,json_parse,trade,delta
,,29,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,800,p50,latency,json_parse,trade,delta
,,30,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,1280,p90,latency,json_parse,trade,delta
,,31,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,1600,p99,latency,json_parse,trade,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,target,venue
,,32,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,208,count,latency,queue_time,execution_manager,delta
